Symbol,Timeframe,Trades,WinRate (%),PNL
GBPJPY,H4,179,53.07,1100
EURUSD,M15,149,52.35,700
EURUSD,D1,197,51.78,700
GBPJPY,M15,148,52.03,600
GBPJPY,D1,130,51.54,400
EURUSD,H1,180,50.0,0
GBPJPY,H1,143,49.65,-100
GBPUSD,D1,225,49.78,-100
GBPUSD,H4,195,49.23,-300
GBPUSD,M15,147,46.94,-900
GBPUSD,H1,158,46.2,-1200
EURUSD,H4,188,46.28,-1400
